dateObserved,temperature,relativeHumidity
2025-03-29T02:57Z,24.618143,35.712444
2025-03-29T03:07Z,24.59144,35.72389
2025-03-29T03:17Z,24.578089,35.763943
2025-03-29T03:27Z,24.556725,35.76585
2025-03-29T03:37Z,24.514,35.771572
2025-03-29T03:47Z,24.503319,35.775387
2025-03-29T03:57Z,24.481956,35.8307
2025-03-29T04:07Z,24.452583,35.80781
2025-03-29T04:17Z,24.388494,35.880295
2025-03-29T04:27Z,24.43122,35.857403
2025-03-29T04:47Z,24.372473,35.857403
2025-03-29T04:57Z,24.364462,35.89937
2025-03-29T05:17Z,24.316397,35.989014
2025-03-29T05:37Z,24.321737,36.191196
2025-03-29T05:47Z,24.367132,36.570763
2025-03-29T05:57Z,24.415197,36.957962
2025-03-29T06:07Z,24.50599,37.173496
2025-03-29T06:17Z,24.59678,37.20783
2025-03-29T06:27Z,24.687572,37.22118
2025-03-29T06:37Z,24.807735,37.23644
2025-03-29T07:07Z,25.021362,36.99611
2025-03-29T07:57Z,25.296406,36.59365
2025-03-29T08:07Z,25.355154,36.452507
2025-03-29T08:17Z,25.379187,36.46586
2025-03-29T08:27Z,25.384527,36.410545
2025-03-29T08:37Z,25.41657,36.357136
2025-03-29T09:07Z,25.520714,36.26177
2025-03-29T09:17Z,25.675592,35.99092
2025-03-29T09:27Z,25.702297,35.971848
2025-03-29T09:37Z,25.632868,36.07675
2025-03-29T09:57Z,25.65156,36.030975
2025-03-29T10:47Z,25.696957,35.935608
2025-03-29T10:57Z,25.750362,35.924164
2025-03-29T12:17Z,25.774395,35.71626
2025-03-29T12:27Z,25.766384,35.77348
2025-03-29T12:37Z,25.750362,35.78111
2025-03-29T13:57Z,25.854506,36.183567
2025-03-29T14:17Z,25.88922,36.18929
2025-03-29T15:47Z,25.937284,36.151142
2025-03-29T17:37Z,25.905241,35.865032
2025-03-29T19:27Z,25.857176,35.748684
2025-03-29T19:37Z,25.867857,35.75059
2025-03-29T19:47Z,25.883879,35.754406
2025-03-29T20:07Z,25.854506,35.748684
2025-03-29T20:17Z,25.875868,35.7525
2025-03-29T20:27Z,25.854506,35.777294
2025-03-29T20:37Z,25.875868,35.71435
2025-03-29T20:47Z,25.88922,35.727703
2025-03-29T20:57Z,25.867857,35.691463
2025-03-29T21:07Z,25.8999,35.706722
2025-03-29T21:17Z,25.878538,35.660946
2025-03-29T21:27Z,25.8999,35.676205
2025-03-29T21:37Z,25.875868,35.38056
2025-03-29T21:47Z,25.865187,35.405357
2025-03-29T22:07Z,25.843824,35.580833
2025-03-29T22:17Z,25.838484,35.61326
2025-03-29T22:27Z,25.830473,35.598
2025-03-30T00:17Z,25.526054,35.52552
2025-03-30T00:27Z,25.456627,35.47593
2025-03-30T00:37Z,25.40856,35.433968
2025-03-30T00:47Z,25.360495,35.487373
2025-03-30T00:57Z,25.336462,35.557945
2025-03-30T01:07Z,25.283054,35.523613
2025-03-30T01:17Z,25.24033,35.54841
2025-03-30T01:27Z,25.192265,35.550316
2025-03-30T01:37Z,25.149538,35.567482
2025-03-30T01:47Z,25.104143,35.557945
2025-03-30T01:57Z,25.104143,35.592278
2025-03-30T02:07Z,25.034714,35.599907
2025-03-30T02:17Z,24.99733,35.61898
2025-03-30T02:27Z,24.949265,35.626614
2025-03-30T02:37Z,24.92523,35.58465
2025-03-30T02:47Z,24.871824,35.61135
2025-03-30T02:57Z,24.855803,35.620888
2025-03-30T03:07Z,24.82376,35.68574
2025-03-30T03:17Z,24.791714,35.67239
2025-03-30T03:27Z,24.757,35.61326
2025-03-30T03:37Z,24.746319,35.641872
2025-03-30T03:47Z,24.719616,35.702908
2025-03-30T03:57Z,24.687572,35.71626
2025-03-30T04:17Z,24.636835,35.74296
2025-03-30T04:27Z,24.604792,35.819256
2025-03-30T04:37Z,24.631495,36.04814
2025-03-30T04:47Z,24.642176,34.98192
2025-03-30T04:57Z,24.51934,32.090332
2025-03-30T05:07Z,24.260319,31.60586
2025-03-30T05:27Z,23.742275,34.663387
2025-03-30T05:37Z,23.640802,35.8307
2025-03-30T05:47Z,23.640802,36.47921
2025-03-30T05:57Z,23.728924,36.87022
2025-03-30T06:07Z,23.851759,37.1239
2025-03-30T06:17Z,23.995956,37.223087
2025-03-30T06:27Z,24.150835,37.219273
2025-03-30T06:37Z,24.262989,36.946518
2025-03-30T06:47Z,24.372473,36.78439
2025-03-30T06:57Z,24.484627,36.803463
2025-03-30T07:07Z,24.59144,36.751965
2025-03-30T07:17Z,24.698254,36.694744
2025-03-30T07:27Z,24.794384,36.55169
2025-03-30T07:37Z,24.882505,36.513542
2025-03-30T07:47Z,24.951935,36.420082
2025-03-30T07:57Z,25.026703,36.359043
2025-03-30T08:07Z,25.08011,36.284657
2025-03-30T08:17Z,25.16556,36.204548
2025-03-30T08:27Z,25.210957,36.13207
2025-03-30T08:37Z,25.243,36.08438
2025-03-30T08:47Z,25.296406,36.04814
2025-03-30T08:57Z,25.339132,35.92607
2025-03-30T09:07Z,25.392538,35.968033
2025-03-30T09:27Z,25.427252,35.82307
2025-03-30T10:07Z,25.574121,35.727703
2025-03-30T10:17Z,25.600824,35.645687
2025-03-30T10:47Z,25.675592,35.536964
2025-03-30T10:57Z,25.667582,35.529335
2025-03-30T11:07Z,25.710308,35.521706
2025-03-30T11:17Z,25.710308,35.51026
2025-03-30T11:27Z,25.737011,35.498817
2025-03-30T11:37Z,25.72633,35.44541
2025-03-30T11:47Z,25.750362,35.464485
2025-03-30T12:17Z,25.777065,35.464485
2025-03-30T12:27Z,25.766384,35.401543
2025-03-30T12:37Z,25.790417,35.401543
2025-03-30T12:47Z,25.801098,35.325245
2025-03-30T12:57Z,25.790417,35.323338
2025-03-30T13:07Z,25.790417,35.361485
2025-03-30T13:17Z,25.774395,35.34241
2025-03-30T13:27Z,25.803768,35.355762
2025-03-30T13:37Z,25.766384,35.34241
2025-03-30T13:47Z,25.766384,35.319523
2025-03-30T13:57Z,25.782406,35.317616
2025-03-30T14:07Z,25.777065,35.27947
2025-03-30T14:17Z,25.763714,35.25658
2025-03-30T14:27Z,25.774395,35.281376
2025-03-30T14:37Z,25.774395,35.237507
2025-03-30T14:47Z,25.774395,35.26993
2025-03-30T14:57Z,25.753033,35.27184
2025-03-30T15:07Z,25.771725,35.30045
2025-03-30T15:27Z,25.766384,35.311893
2025-03-30T15:37Z,25.750362,35.317616
2025-03-30T16:17Z,25.73167,35.38056
2025-03-30T16:37Z,25.704967,35.53315
2025-03-30T16:47Z,25.675592,35.573204
2025-03-30T17:07Z,25.696957,35.718166
2025-03-30T17:17Z,25.686274,35.800182
2025-03-30T17:27Z,25.787746,35.68002
2025-03-30T17:37Z,25.795757,35.733425
2025-03-30T17:47Z,25.795757,35.82307
2025-03-30T17:57Z,25.795757,35.832607
2025-03-30T18:07Z,25.774395,35.906998
2025-03-30T18:17Z,25.801098,35.94133
2025-03-30T18:27Z,25.809109,35.916534
2025-03-30T18:57Z,25.819792,36.0119
2025-03-30T19:07Z,25.814451,36.01953
2025-03-30T19:17Z,25.806438,36.08438
2025-03-30T19:27Z,25.801098,36.101547
2025-03-30T19:37Z,25.806438,36.095825
2025-03-30T19:47Z,25.790417,36.16831
2025-03-30T19:57Z,25.811779,36.191196
2025-03-30T20:07Z,25.830473,36.175938
2025-03-30T20:17Z,25.830473,35.97757
2025-03-30T20:27Z,25.782406,35.571297
2025-03-30T20:37Z,25.777065,35.61898
2025-03-30T20:47Z,25.739681,35.85359
2025-03-30T21:57Z,25.65423,36.09964
2025-03-30T22:07Z,25.696957,35.908905
2025-03-30T22:17Z,25.696957,35.908905
2025-03-30T23:47Z,25.435263,35.903183
2025-03-30T23:57Z,25.387197,35.939423
2025-03-31T00:07Z,25.349813,35.96422
2025-03-31T00:17Z,25.3151,36.05577
2025-03-31T00:27Z,25.283054,36.030975
2025-03-31T00:37Z,25.229649,36.05005
2025-03-31T00:47Z,25.213627,36.065308
2025-03-31T01:07Z,25.146868,36.13779
2025-03-31T01:17Z,25.114824,36.235065
2025-03-31T01:27Z,25.0721,36.22553
2025-03-31T01:37Z,25.06676,36.248417
2025-03-31T01:47Z,25.034714,36.25414
2025-03-31T01:57Z,25.0,36.334248
2025-03-31T02:17Z,24.92523,36.380028
2025-03-31T02:27Z,24.83978,36.462044
2025-03-31T02:37Z,24.83444,36.47158
2025-03-31T02:47Z,24.799725,36.553596
2025-03-31T02:57Z,24.76234,36.570763
2025-03-31T03:07Z,24.767681,36.62417
2025-03-31T03:17Z,24.730297,36.59365
2025-03-31T03:27Z,24.698254,36.664227
2025-03-31T03:37Z,24.722286,36.566948
2025-03-31T03:47Z,24.695583,36.584114
2025-03-31T03:57Z,24.67956,36.597466
2025-03-31T04:07Z,24.663538,36.62417
2025-03-31T04:17Z,24.626154,36.71954
2025-03-31T04:27Z,24.644846,36.858776
2025-03-31T04:37Z,24.644846,37.007553
2025-03-31T04:57Z,24.660868,37.67132
2025-03-31T05:07Z,24.789043,37.879227
2025-03-31T05:17Z,24.877165,37.97841
2025-03-31T05:27Z,24.973297,37.99939
2025-03-31T05:37Z,25.048065,37.957428
2025-03-31T05:47Z,25.101473,37.854427
2025-03-31T05:57Z,25.202946,37.72282
2025-03-31T06:07Z,25.291065,37.663692
2025-03-31T06:17Z,25.333792,37.59884
2025-03-31T06:27Z,25.397879,37.46723
2025-03-31T06:37Z,25.451286,37.39666
2025-03-31T06:47Z,25.49401,37.385216
2025-03-31T06:57Z,25.528725,37.308918
2025-03-31T07:07Z,25.56611,37.196384
2025-03-31T07:17Z,25.571451,37.175404
